GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
6000085	512870	88	EGA BONNIE ROCK*2/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ	4.08	7.81	42.2	92.5
6000091	512888	101	HUANIL//2*WBLL1*2/KUKUNA	4.07	6.8	47.4	78
6000092	512888	102	HUANIL//2*WBLL1*2/KUKUNA	4	7.57	45.1	83.5
6000101	512890	135	ITP45*2/BERKUT	3.24	6.7	39.9	84
6000102	512926	128	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.08	7.66	44.3	91
6000104	512926	130	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.29	7.75	42.7	89.5
6000105	512926	131	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.17	7.76	43.2	91.5
6000107	512926	133	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.05	7.61	44.2	91
6000110	512926	136	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.13	7.85	42.9	89.5
6000113	512926	139	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.17	7.17	42.6	90
6000115	512926	141	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.09	7.52	41.9	91
6000116	512926	142	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.2	7.38	41.9	90.5
6000118	512926	144	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.28	7.61	42	91.5
6000120	512926	146	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	4.04	8.08	39.9	91.5
6000121	512926	147	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	3.33	6.41	50.7	89
6000123	512926	149	SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92/5/WBLL1*2/TUKURU/6/PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1	3.89	7.27	42.4	92
6000141	514471	99	TC14/2*HTG//DUCULA/3/PRINIA/4/CROC_1/AE.SQUARROSA (224)//OPATA	4.05	7.46	45.4	80
6000174	514478	200	CROC_1/AE.SQUARROSA (224)//OPATA/4/TC14/2*HTG//DUCULA/3/PRINIA	4.15	7.67	48.9	87
6000212	512786	93	NSM*4/14-2//FRTL/2*PIFED/3/VORB	3.89	7.84	42.7	88.5
6000215	512786	96	NSM*4/14-2//FRTL/2*PIFED/3/VORB	3.9	6.98	51.3	90.5
