GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
6001216	501062	53	ASTREB/NL90.15.2.61	3.87	6.75	41.5	88
6001221	501062	58	ASTREB/NL90.15.2.61	3.76	6.93	39.4	88
6001226	285851	1373	BAV92/SERI	4.36	7.42	42.6	87.5
6001232	285851	1379	BAV92/SERI	4.4	6.77	43.8	85.5
6001235	285851	1382	BAV92/SERI	4.48	7.67	50.8	86.5
6001237	285851	1384	BAV92/SERI	4.21	6.85	40.7	84
6001239	504090	84	TACUPETO F2001*2/KUKUNA/3/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.13	6.94	54.2	85.5
6001240	504090	85	TACUPETO F2001*2/KUKUNA/3/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.22	6.54	50.6	87
6001241	504090	86	TACUPETO F2001*2/KUKUNA/3/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.3	6.84	50.8	81
6001242	504090	87	TACUPETO F2001*2/KUKUNA/3/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	3.91	6.18	49	85
6001247	506652	48	T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/3/PBW343*2/KUKUNA/4/PBW343*2/KUKUNA	4.19	6.85	50.8	84
6001280	507080	50	TC14/2*HTG//DUCULA/3/PRINIA/4/PASTOR//MILAN/KAUZ/3/BAV92/5/MILAN/KAUZ//PRINIA/3/BAV92	4.21	6.3	52.6	85.5
6001290	506630	101	GTO95.1.20/2*BERKUT	4.19	6.27	48.3	83.5
6001298	496329	34	AMSEL/2*BANKS//BANKS*2/4/DVERD_2/AE.SQUARROSA (221)/3/SHA8//PRL/VEE#6	3.65	4.87	48.4	80.5
6001305	496236	62	T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/3/HP1761/4/PBW343*2/KUKUNA	4.23	7.45	43.3	88
6001311	494896	66	FLORKWA-1/DHARWAR DRY/4/MILAN/KAUZ//PRINIA/3/BAV92	4.04	6.2	49.6	87
6001330	494911	99	BJY/COC//PRL/BOW/3/FRTL/4/ATTILA/BAV92//PASTOR	3.81	6.7	56.8	78
6001357	494935	32	MILAN/KAUZ//PRINIA/3/BAV92/4/WBLL1*2/KUKUNA	4.37	6.54	53.7	79.5
6001361	494936	39	MILAN/KAUZ//PRINIA/3/BAV92/4/WBLL1*2/KURUKU	4.2	6.9	47.9	81.5
6001364	494938	36	KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA/4/PASTOR/FLORKWA-1//BAV92	4.1	6.24	55.5	84
6001366	494938	38	KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA/4/PASTOR/FLORKWA-1//BAV92	4.07	6.09	56.7	86.5
6001386	494950	42	RL6043/4*NAC//PASTOR/3/BAV92/4/ATTILA/PASTOR	4.25	7.1	47.6	87
6001389	494950	45	RL6043/4*NAC//PASTOR/3/BAV92/4/ATTILA/PASTOR	4.14	6.68	49.8	86
6001392	494951	79	RL6043/4*NAC//PASTOR/3/BAV92/4/ATTILA/BAV92//PASTOR	4.11	7.14	50	86
6001418	494962	59	PASTOR*2/BAV92/3/FRET2/KUKUNA//FRET2	4.38	6.21	54.6	81.5
6001420	494962	61	PASTOR*2/BAV92/3/FRET2/KUKUNA//FRET2	4.34	6.34	55.3	82.5
6001439	494965	49	ATTILA/BAV92//PASTOR/3/ATTILA*2/PBW65	4.51	7.76	47.8	85
6001454	494976	26	BABAX/KS93U76//BABAX/4/MILAN/KAUZ//PRINIA/3/BAV92	4.41	7.61	50.8	91
6001457	494983	41	CUNNINGHAM/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ	4.17	6.71	46.4	86
6001467	495047	52	630.94/4/VEE#6/TRAP#1/3/HE1/3*CNO79//2*SERI	4.41	7.96	43.7	89
6001472	495073	28	ESDA/KKTS	4.33	7.48	49.2	86
6001475	495093	27	VORONA/CNO79//KAUZ/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX	3.86	7.32	49.8	87
6001490	495111	32	FINSI/4/KABY/BAV92/3/CROC_1/AE.SQUARROSA (224)//OPATA	3.87	6.54	48.4	83.5
6001524	495880	100	ATTILA*2//CHIL/BUC/3/SW89-5124*2/FASAN/4/BERKUT	3.97	6.73	41.8	83
6001525	495888	46	WESTONIA/5/LAJ3302/3/GZ156/NAC//PSN/URES/4/WEAVER/6/CNO79//PF70354/MUS/3/PASTOR/4/BAV92	4.39	7.19	52.4	80.5
6001528	495888	49	WESTONIA/5/LAJ3302/3/GZ156/NAC//PSN/URES/4/WEAVER/6/CNO79//PF70354/MUS/3/PASTOR/4/BAV92	4.37	7.17	50.9	84
6001548	495915	71	GOUBARA-1/2*SOKOLL	4.24	6.94	50	86.5
6001549	495915	72	GOUBARA-1/2*SOKOLL	4.34	6.62	50	82
6001552	495915	75	GOUBARA-1/2*SOKOLL	4.49	6.8	51.9	82.5
6001556	495915	79	GOUBARA-1/2*SOKOLL	4.32	7.51	50.9	82
6001594	495976	37	CHEN/AE.SQ//WEAVER/3/MURGA/4/BABAX/LR42//BABAX	4.5	6.6	47.7	85.5
6001604	495988	15	PSN/BOW//MILAN/3/2*PARUS/PASTOR	4.05	7.32	41.3	83.5
6001639	496026	97	SOKOLL*2/3/PASTOR//MUNIA/ALTAR 84	4.45	7.36	50.5	78
6001641	496026	99	SOKOLL*2/3/PASTOR//MUNIA/ALTAR 84	4.42	6.95	48	85
6001642	496027	102	SOKOLL*2/4/CHEN/AEGILOPS SQUARROSA (TAUS)//FCT/3/STAR	4.44	7.13	51.9	83.5
6001643	496027	103	SOKOLL*2/4/CHEN/AEGILOPS SQUARROSA (TAUS)//FCT/3/STAR	4.49	7.59	52.5	83.5
6001645	496027	105	SOKOLL*2/4/CHEN/AEGILOPS SQUARROSA (TAUS)//FCT/3/STAR	4.21	7.18	51.1	83.5
6001646	496027	106	SOKOLL*2/4/CHEN/AEGILOPS SQUARROSA (TAUS)//FCT/3/STAR	4.37	7.18	54.1	82.5
6001654	496045	24	SOKOLL//SUNCO/2*PASTOR/5/CNO79//PF70354/MUS/3/PASTOR/4/BAV92	4.39	7.54	55.2	82
6001669	496096	35	BOW/VEE/5/ND/VG9144//KAL/BB/3/YACO/4/CHIL/6/CASKOR/3/CROC_1/AE.SQUARROSA (224)//OPATA/7/PASTOR//MILAN/KAUZ/3/BAV92	4.28	6.75	51.6	83
6001673	496096	39	BOW/VEE/5/ND/VG9144//KAL/BB/3/YACO/4/CHIL/6/CASKOR/3/CROC_1/AE.SQUARROSA (224)//OPATA/7/PASTOR//MILAN/KAUZ/3/BAV92	4.15	7.19	51.6	87.5
6001674	496096	40	BOW/VEE/5/ND/VG9144//KAL/BB/3/YACO/4/CHIL/6/CASKOR/3/CROC_1/AE.SQUARROSA (224)//OPATA/7/PASTOR//MILAN/KAUZ/3/BAV92	4.11	7	50.5	88
6001675	496096	41	BOW/VEE/5/ND/VG9144//KAL/BB/3/YACO/4/CHIL/6/CASKOR/3/CROC_1/AE.SQUARROSA (224)//OPATA/7/PASTOR//MILAN/KAUZ/3/BAV92	4.04	7.14	51.5	83.5
6001720	496180	204	SUNCO/2*PASTOR//PASTOR/2*SITTA/3/TUKURU	3.85	6.02	51.6	84
6001766	502582	39	SOKOLL//BAV92/SERI	4.7	6.42	49.1	81.5
6001767	502584	34	SOKOLL//BAV92/SERI	4.4	7.65	55.7	82
6001768	502584	35	SOKOLL//BAV92/SERI	4.41	6.54	48.9	82.5
6001793	512562	122	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/BH1146*3/ALD//BUC/3/BAU/6/CNO79//PF70354/MUS/3/PASTOR/4/BAV92	3.9	7.74	55.7	79
6001801	512673	176	FRET2/KUKUNA//FRET2/3/2*BR23	3.85	6.24	52.3	83.5
6001809	512688	172	GONDO//SHA5/WEAVER/3/PASTOR*2/4/WBLL1*2/TUKURU	4.19	7.27	48.4	82.5
6001847	512743	133	GONDO//WBLL1*2/TUKURU/4/GONDO//SHA5/WEAVER/3/PASTOR	4.06	6.73	46.9	79.5
6001864	506305	15	PALOMAR/TSAPKI/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX	3.7	7.1	45.8	83
6001910	494961	50	PASTOR*2/BAV92/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ	4.57	7.39	48.3	86.5
6001911	494961	51	PASTOR*2/BAV92/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ	4.32	7.05	48	79.5
6001912	494961	52	PASTOR*2/BAV92/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ	4.45	7.18	48.3	86.5
6001938	496153	30	PVN//CAR422/ANA/5/BOW/CROW//BUC/PVN/3/YR/4/TRAP#1/6/SUNCO/2*PASTOR/8/TNMU/6/PEL74144/4/KVZ//ANE/MY64/3/PF70354/5/BR14/7/BR35	4.2	7.16	52.5	86
6001966	496164	110	TUKURU/4/CROC_1/AE.SQUARROSA (224)//YACO/3/MUNIA/5/BABAX/LR42//BABAX	3.88	7.64	44.3	82.5
